;Y;X1;X2;X3;X4
1;1;1;0;0;33
2;1;1;0;0;38
3;0;1;0;1;31
4;0;0;1;0;32
5;0;1;0;0;24
6;0;0;1;0;24
7;0;0;0;0;26
8;1;1;0;1;36
9;1;0;1;0;30
10;1;1;0;0;25
11;0;1;0;1;40
12;0;0;0;0;31
13;1;0;1;0;39
14;1;1;0;1;25
15;1;1;0;0;26
16;0;0;1;1;38
17;1;1;0;1;31
18;0;0;0;0;37
19;0;1;0;0;37
20;0;0;1;0;36
21;1;0;1;0;40
22;1;1;0;0;30
23;0;0;1;0;26
24;0;0;1;0;39
25;1;1;0;1;31
26;1;1;0;0;24
27;1;0;1;0;40
28;1;1;0;1;30
29;0;0;1;0;32
30;1;1;0;0;28
31;1;0;1;1;33
32;1;1;0;1;27
33;0;0;0;0;24
34;0;0;1;0;39
35;0;1;0;0;26
36;0;1;0;0;33
37;0;1;0;0;32
38;1;1;0;0;36
39;1;1;0;1;25
40;0;0;1;0;25
41;0;0;0;0;34
42;0;1;0;0;33
43;1;1;0;0;24
44;1;1;0;1;33
45;1;1;0;0;25
46;0;0;1;0;32
47;0;0;0;0;37
48;0;1;0;0;38
49;1;1;0;0;31
50;1;0;1;1;29
51;1;1;0;0;38
52;1;0;0;1;28
53;1;1;0;1;27
54;1;0;1;0;24
55;1;0;1;0;35
